URL,Countries_Filled,Country_Code,Continent,Companies,Company Headquarters,HQ_Country,HQ_Continent
https://www.business-humanrights.org/en/latest-news/vedanta-response-to-survival-international-press-release-about-alleged-harassment-of-human-rights-investigators-india/,IN,IN,Asia,Vedanta Resources Limited,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/independência-response-to-concerns-raised-by-greenpeace-including-that-independência-has-acquired-cattle-from-ranchers-linked-to-forced-labour/,BR,BR,South America,Independencia,BR,BR,South America
https://www.business-humanrights.org/en/latest-news/goldcorp-response-re-san-martin-mine/,HN,HN,South America,Goldcorp (now Newmont),CA,CA,North America
https://www.business-humanrights.org/en/latest-news/response-of-general-electric-to-toxic-100-ranking/,US,US,North America,General Electric (GE),US,US,North America
https://www.business-humanrights.org/en/latest-news/dundee-precious-metals-response-regarding-sofia-news-agency-article-bulgarian-town-rises-against-canadian-mining-company-dundee/,BG,BG,Europe,Dundee Precious Metals,CA,CA,North America
https://www.business-humanrights.org/en/latest-news/response-to-bbc-file-on-four-programme-re-ghana/,CD|GH,CD,Africa,AngloGold Ashanti,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-to-bbc-file-on-four-programme-re-ghana/,CD|GH,GH,Africa,AngloGold Ashanti,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/shell-response-to-urgent-action-statement-by-movement-for-the-survival-of-the-ogoni-people-mosop/,NG,NG,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/new-yorker-response-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia,New Yorker,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/motorola-response-to-us-campaign-to-end-the-israeli-occupation/,IL,IL,Asia,Motorola (now Motorola Solutions & Motorola Mobility),US,US,North America
https://www.business-humanrights.org/en/latest-news/respuesta-de-grupo-flores-de-la-montaña-a-reporte-sobre-condiciones-y-derechos-laborales-de-sus-trabajadores-en-ecuador/,EC,EC,South America,Grupo Flores de la Montaña,EC,EC,South America
https://www.business-humanrights.org/en/latest-news/gelmart-industries-incs-response/,PH,PH,Asia,Gelmart Industries,US,US,North America
https://www.business-humanrights.org/en/latest-news/alcoa-response-to-concerns-about-bakhuys-project-suriname/,SR,SR,South America,Alcoa,US,US,North America
https://www.business-humanrights.org/en/latest-news/yahoo-response-to-concerns-regarding-its-role-in-arrest-of-chinese-journalist-shi-tao/,CN,CN,Asia,Yahoo!,US,US,North America
https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-concerns-regarding-water-consumption-in-gangaikondan-tamil-nadu-india/,IN,IN,Asia,Coca-Cola,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-sent-to-business-human-rights-resource-centre-following-on-from-the-english-release-of-the-easy-to-manage-report-by-swedwatch-and-fair-trade-center/,CN,CN,Asia,Coop Norden,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/statement-by-triumph-international/,PH|TH,PH,Asia,Triumph International,CH,CH,Europe
https://www.business-humanrights.org/en/latest-news/statement-by-triumph-international/,PH|TH,TH,Asia,Triumph International,CH,CH,Europe
https://www.business-humanrights.org/en/latest-news/response-provided-by-carrefour-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia,Carrefour,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/scapino-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia,Scapino,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/volvo-response-to-article-about-concerns-on-the-use-of-volvo-vehicles-in-israel-and-the-occupied-territories/,IL,IL,Asia,Volvo Group,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/mittal-steel-response-to-amnesty-intl-report-bosnia-and-herzegovina-behind-closed-gates-ethnic-discrimination-in-employment/,BA,BA,Europe,Mittal Steel (part of Arcelor Mittal),NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/kraft-foods-response-to-concerns-alleging-kraft-argentina-fired-union-workers-for-organizing-protests-and-about-alleged-collaboration-with-violent-police-behavior/,AR,AR,South America,Kraft Foods (now Kraft Heinz),US,US,North America
https://www.business-humanrights.org/en/latest-news/response-of-aes-to-cultural-survival-statement-crisis-in-panama/,PA,PA,South America,AES,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-of-ranbaxy-to-concerns-regarding-impact-on-groundwater-of-facility-in-toansa-punjab-india/,IN,IN,Asia,Ranbaxy Laboratories,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/heineken-response-to-australian-council-of-trade-unions-campaign-raising-concerns-about-the-situation-of-women-promoting-beer-brands-in-asia/,KH,KH,Asia,Heineken,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/response-of-eastman-kodak-to-toxic-100-ranking/,US,US,North America,Eastman Kodak,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-by-ing-to-cedhas-equator-principles-compliance-complaint/,AR|UY,AR,South America,ING,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/response-by-ing-to-cedhas-equator-principles-compliance-complaint/,AR|UY,UY,South America,ING,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/conocophillips-response-to-amazon-watch-save-americas-forests-report/,PE,PE,South America,ConocoPhillips,US,US,North America
https://www.business-humanrights.org/en/latest-news/shell-response-re-eccr-report/,NG,NG,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/jms-garments-response-to-report-by-sweatfree-communities/,BD,BD,Asia,JMS Garments,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/cotton-group-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia,Cotton Group,BE,BE,Europe
https://www.business-humanrights.org/en/latest-news/statement-of-jostens-in-response-to-no-dirty-gold-campaign-call-to-adopt-social-environmental-standards-for-gold-sourcing/,no_data,no_data,no_data,Jostens,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-of-archer-daniels-midland-to-toxic-100-ranking/,US,US,North America,Archer Daniels Midland (ADM),US,US,North America
https://www.business-humanrights.org/en/latest-news/inditex-response-letter-sent-by-deputy-chairman-ceo-of-inditex-to-secretary-general-of-itglwf-adressing-his-questions-regarding-spectrum-sweaters-bangladesh/,BD,BD,Asia,Inditex,ES,ES,Europe
https://www.business-humanrights.org/en/latest-news/response-of-horizon-clothing-manufacturing-to-report-raising-concerns-about-working-conditions-at-its-factory-in-jordan/,JO,JO,Asia,Horizon Clothing,JO,JO,Asia
https://www.business-humanrights.org/en/latest-news/deutsche-bank-response-to-south-china-morning-post-article-raising-concerns-about-shares-in-the-chinese-company-henan-rebecca/,CN,CN,Asia,Deutsche Bank,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/norilsk-nickel-response-to-blacksmith-institute-report-worlds-worst-polluted-places-2006/,RU,RU,Europe,Norilsk Nickel,RU,RU,Europe
https://www.business-humanrights.org/en/latest-news/response-of-coca-cola-femsa-to-allegation-of-sexual-orientation-discrimination-in-mexico/,MX,MX,South America,Coca-Cola FEMSA,MX,MX,South America
https://www.business-humanrights.org/en/latest-news/british-american-tobacco-bat-statement-in-response-to-bat-in-its-own-words-report-by-christian-aid-action-on-smoking-and-health-friends-of-the-earth/,CN,CN,Asia,British American Tobacco,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/intex-resources-response-to-local-authorities-complaint-re-granting-of-environmental-certification-to-mining-project/,PH,PH,Asia,Intex Resources,NO,NO,Europe
https://www.business-humanrights.org/en/latest-news/barrick-golds-response-to-allegations-of-water-contamination-at-its-mara-mines-tanzania/,TZ,TZ,Africa,Barrick Gold,CA,CA,North America
https://www.business-humanrights.org/en/latest-news/response-to-allegations-made-by-war-on-want-against-erinys/,IQ,IQ,Asia,Erinys International,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/vedanta-response-to-survival-international-media-statement/,IN,IN,Asia,Vedanta Resources Limited,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/implats-response-to-bench-marks-report/,ZA,ZA,Africa,Impala Platinum (Implats),ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-of-monclova-internacional-to-concerns-over-workplace-safety-wages/,MX,MX,South America,Sara Lee,US,US,North America
https://www.business-humanrights.org/en/latest-news/company-response-statement-by-paul-warner-manager-community-relations-and-institutional-affairs-bhp-billiton-base-metals/,PE,PE,South America,BHP,AU,AU,Australia
https://www.business-humanrights.org/en/latest-news/anglogold-ashantis-response-ghana/,GH,GH,Africa,AngloGold Ashanti,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-of-ing-to-netwerk-vlaanderen-report-where-do-you-draw-the-line/,Global,Global,Global,ING,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/google-response-regarding-amnesty-international-action-on-censorship-in-china/,CN,CN,Asia,Google (part of Alphabet),US,US,North America
https://www.business-humanrights.org/en/latest-news/serco-response-re-childrens-commissioner-report/,GB,GB,Europe,Serco,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-by-novartis-to-statement-by-physicians-for-social-justice-nigeria/,IN,IN,Asia,Novartis,CH,CH,Europe
https://www.business-humanrights.org/en/latest-news/response-of-ford-to-allegations-of-involvement-in-abuses-in-argentina-during-the-military-dictatorship-1976-1983/,AR,AR,South America,Ford,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-of-dsm-to-concerns-regarding-pollution-of-groundwater-near-one-of-its-facilities-in-india/,IN,IN,Asia,DSM,NL,NL,Europe
https://www.business-humanrights.org/en/latest-news/rio-tinto-response-to-report-by-panos-and-friends-of-the-earth-regarding-the-ilmenite-mine-in-madagascar/,MG,MG,Africa,Rio Tinto,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/tesco-statement-in-response-to-actionaid-report-rotten-fruit-tesco-profits-as-women-workers-pay-a-high-price/,ZA,ZA,Africa,Tesco,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/crédit-agricole-response-to-amnesty-international-france-press-release-on-investment-in-the-arms-industry/,FR,FR,Europe,Crédit Agricole,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/balfour-beatty-response/,GB,GB,Europe,Balfour Beatty,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/statement-from-gsk-regarding-gsk-patents-and-patent-applications-directed-to-a-specific-formulation-of-combivir/,TH,TH,Asia,GlaxoSmithKline,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-request/,TZ,TZ,Africa,Barrick Gold,CA,CA,North America
https://www.business-humanrights.org/en/latest-news/standard-flour-mills-response-nigeria/,NG,NG,Africa,Modandola Group|Standard Flour Mills,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,AZ,Asia,bp,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,GB,Europe,bp,GB,GB,Europe
