URL,Countries_Filled,Country_Code,Continent
https://www.business-humanrights.org/en/latest-news/respuesta-de-grupo-flores-de-la-montaña-a-reporte-sobre-condiciones-y-derechos-laborales-de-sus-trabajadores-en-ecuador/,EC,EC,South America
https://www.business-humanrights.org/en/latest-news/gelmart-industries-incs-response/,PH,PH,Asia
https://www.business-humanrights.org/en/latest-news/alcoa-response-to-concerns-about-bakhuys-project-suriname/,SR,SR,South America
https://www.business-humanrights.org/en/latest-news/yahoo-response-to-concerns-regarding-its-role-in-arrest-of-chinese-journalist-shi-tao/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-concerns-regarding-water-consumption-in-gangaikondan-tamil-nadu-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/response-sent-to-business-human-rights-resource-centre-following-on-from-the-english-release-of-the-easy-to-manage-report-by-swedwatch-and-fair-trade-center/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/statement-by-triumph-international/,PH|TH,PH,Asia
https://www.business-humanrights.org/en/latest-news/statement-by-triumph-international/,PH|TH,TH,Asia
https://www.business-humanrights.org/en/latest-news/response-provided-by-carrefour-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/scapino-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/volvo-response-to-article-about-concerns-on-the-use-of-volvo-vehicles-in-israel-and-the-occupied-territories/,IL,IL,Asia
https://www.business-humanrights.org/en/latest-news/mittal-steel-response-to-amnesty-intl-report-bosnia-and-herzegovina-behind-closed-gates-ethnic-discrimination-in-employment/,BA,BA,Other
https://www.business-humanrights.org/en/latest-news/kraft-foods-response-to-concerns-alleging-kraft-argentina-fired-union-workers-for-organizing-protests-and-about-alleged-collaboration-with-violent-police-behavior/,AR,AR,South America
https://www.business-humanrights.org/en/latest-news/response-of-aes-to-cultural-survival-statement-crisis-in-panama/,PA,PA,North America
https://www.business-humanrights.org/en/latest-news/response-of-ranbaxy-to-concerns-regarding-impact-on-groundwater-of-facility-in-toansa-punjab-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/heineken-response-to-australian-council-of-trade-unions-campaign-raising-concerns-about-the-situation-of-women-promoting-beer-brands-in-asia/,KH,KH,Asia
https://www.business-humanrights.org/en/latest-news/response-of-eastman-kodak-to-toxic-100-ranking/,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-by-ing-to-cedhas-equator-principles-compliance-complaint/,AR|UY,AR,South America
https://www.business-humanrights.org/en/latest-news/response-by-ing-to-cedhas-equator-principles-compliance-complaint/,AR|UY,UY,South America
https://www.business-humanrights.org/en/latest-news/conocophillips-response-to-amazon-watch-save-americas-forests-report/,PE,PE,South America
https://www.business-humanrights.org/en/latest-news/shell-response-re-eccr-report/,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/jms-garments-response-to-report-by-sweatfree-communities/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/cotton-group-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/response-of-archer-daniels-midland-to-toxic-100-ranking/,US,US,North America
https://www.business-humanrights.org/en/latest-news/inditex-response-letter-sent-by-deputy-chairman-ceo-of-inditex-to-secretary-general-of-itglwf-adressing-his-questions-regarding-spectrum-sweaters-bangladesh/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/response-of-horizon-clothing-manufacturing-to-report-raising-concerns-about-working-conditions-at-its-factory-in-jordan/,JO,JO,Asia
https://www.business-humanrights.org/en/latest-news/deutsche-bank-response-to-south-china-morning-post-article-raising-concerns-about-shares-in-the-chinese-company-henan-rebecca/,CN,CN,Asia
